Sentence,CEFR
Tom asked Mary if she was free on Valentine's Day.,A1
Yanni wants to see Skura as soon as possible.,A1
"When Tom's mother died, he moved to the home of his grandmother in Boston.",A1
Tom and Mary both sat in the front of the classroom.,A1
Tom opened the back door to let the dog out.,A1
"What's wrong, Tom? You can't sleep? How about I read you a book?",A1
Tom said he's not sure Mary needs to do that.,A1
"If Tom finds out I told you this, he'll be very angry.",A1
Tom and Mary said that they tried to do that.,A1
Tom and Mary told me why they were angry.,A1
The schools are closed today because of the snow.,A1
Fifteen hundred works of art were found in an apartment.,A1
It's not easy to find the way to the park.,A1
The best way is to take things as they come.,A1
Sami didn't want to keep the letters in his car.,A1
Mary told Tom that she thought John wasn't thirsty.,A1
Sami wants to go to the movies with Layla.,A1
Tom and Mary told me that they weren't feeling very good.,A1
Ziri is moving office into a new bigger space.,A1
"Tom tried to get help, but nobody would help him.",A1
Tom and Mary aren't speaking to each other.,A1
My taking the book is justified by my seeing it.,A1
Jaume's grandmother spoke Catalan better than Spanish.,A1
I've never told anyone about what really happened.,A1
I didn't know that Tom was going to be in Australia last week.,A1
I thought that it was a good idea at the time.,A1
We all knew that sooner or later it would happen.,A1
We hope you'll be in Boston next spring.,A1
I didn't think my day could get any worse.,A1
Do your homework before your father gets home.,A1
I think that Tom really needs to do that.,A1
Tom and I'll be here for the next few hours.,A1
I think Tom wouldn't be enthusiastic about that.,A1
I ask you to remember this once and for all.,A1
There's no way of knowing where he went.,A1
"There's no problem with working hard, but it's also very important to know what you're working for.",A1
I think that you shouldn't have done that by yourself.,A1
Tom and Mary told me that they should go.,A1
How many miles is it from Boston to Chicago?,A1
Tom isn't the one who told Mary to do that.,A1
"Ziri helped Rima find her friend, Skura.",A1
You should have helped him with his work.,A1
What do you think? Will there be any post today?,A1
"Tom plans to go out dancing with Mary, doesn't he?",A1
There's a large car park in front of the station.,A1
How many years were you without your father?,A1
I know Tom is a boy's name and Mary is a girl's name.,A1
Tom bought a camera that was made in Japan.,A1
We bought fifty cans of beer for the party. We hope that will be enough.,A1
There are still many things we don't know about the universe.,A1
My mother is always finding fault with me.,A1
Tom should probably tell Mary he's busy.,A1
I didn't even know Tom and Mary used to be married to each other.,A1
Tom didn't want to park his new car on the road.,A1
I think Tom and Mary aren't the first ones to do that.,A1
"You're planning to help me tomorrow, aren't you?",A1
Sami spent an hour with a customer and he didn't buy anything.,A1
Martha shared a room with another girl her age.,A1
Why didn't Tom come to Australia with you?,A1
I want to get married and have children.,A1
We probably won't have much snow this winter.,A1
I told Tom he shouldn't stay out late at night.,A1
I'm thinking about traveling to Europe with a friend.,A1
There are so many stories that I've never told you.,A1
Dan didn't even understand what Linda was telling him.,A1
I can't remember things before they happen.,A1
Can you imagine what life will be like for them now?,A1
I enjoy speaking French with my friends.,A1
Tom said he didn't believe that you really wanted to do that.,A1
Tom has to do something he doesn't want to do.,A1
How many people came into the shop today?,A1
What makes Tom so sure that this won't happen again?,A1
Tom and Mary said they didn't want to ask John for help.,A1
Mary says she's willing to do that for Tom.,A1
Tom will try to do something about that.,A1
"Yanni turned to his brother and said: ""No questions. Just run.""",A1
Mary says she hopes Tom knows when he needs to do that.,A1
"Elias looked at the teenagers, then looked away.",A1
"You knew that Tom and Mary weren't really going to do that, didn't you?",A1
Sami and Layla didn't want to go to school.,A1
Tom knew Mary said she going to do that.,A1
Tom and Mary showed up in Boston three days after they said they would.,A1
He sometimes sees her in the supermarket.,A1
The man you met yesterday was Tom Jackson.,A1
Tom called the police and waited for them to arrive.,A1
Do Tom and Mary know that you don't like them?,A1
Tom thought that Mary wouldn't like to do that.,A1
Tom and Mary told me they sleep with the window open.,A1
"As an artist, he leaves a lot to be desired.",A1
When was the last time you spoke French to Tom?,A1
Mary said that she wasn't very concerned.,A1
Tom did everything Mary said that he should do.,A1
Tom said he didn't have enough money to go to Australia.,A1
I came here as soon as I heard you needed help.,A1
Do you want us to take you back to your house?,A1
I grew up in a small town where everyone knows each other.,A1
Ziri wants to drive all the way to Algiers.,A1
Tom will be there way before we get there.,A1
Tom is going to have to do that tomorrow.,A1
Mary got most of the things she asked for.,A1
They told me that they didn't want to go with us.,A1
Will you be spending Christmas with Tom?,A1
Making friends with people doesn't have anything to do with how long you know them.,A1
Tom and Mary didn't how long they'd slept.,A1
My boyfriend isn't much younger than I am.,A1
Someone took my glass when I wasn't looking.,A1
I didn't know that Tom was capable of doing that.,A1
You can ask the child that is playing over there.,A1
"Once the work is done, usually around half past five, I come home to have dinner.",A1
Tom told me that he hoped that Mary would be early.,A1
I didn't know Tom and Mary were dating each other.,A1
"Tom is well-known, not only here in Boston, but around the world.",A1
I just told you something I've never told anyone else.,A1
Fadil and Layla talked about how to handle the situation.,A1
Tom wanted Mary to know that he didn't hate her.,A1
Why would somebody want to live in a place like this?,A1
There is no US military presence in Algeria.,A1
They said that they couldn't do that again.,A1
That's why I have to take the test again.,A1
You told us you'd wouldn't do that again.,A1
Tom and Mary were hoping you could do that for them.,A1
Just tell me what it is you want to know.,A1
Your family lives in Berlin and you're going there soon.,A1
Do you have any idea how long Tom has been studying French?,A1
How could you tell Tom wasn't having fun?,A1
I think Tom doesn't want to do that right now.,A1
I'm pretty sure that building was built in 1987.,A1
I want Tom to come to Australia for Christmas.,A1
Tom called to say he wouldn't be at today's meeting.,A1
They said that they had fully recovered.,A1
I know that Tom didn't enjoy doing that.,A1
There are some topics you shouldn't discuss with Tom.,A1
Do you think Tom will ever do that again?,A1
I visited Tom in Australia three years ago.,A1
What makes you think Tom would say something like that?,A1
Why did you break up with your last boyfriend?,A1
Tom said that he didn't want to go to Boston by bus.,A1
"I said nothing, and that made him angry.",A1
Don't you know everybody is talking about us?,A1
We're flying back to Australia on Monday.,A1
"I want children, but my husband doesn't.",A1
Tom said that he'd never planned to live in Australia for so long.,A1
I think that all of us want to know why that happened.,A1
I'm usually the one who does the dishes.,A1
How many months have Tom and Mary spent doing that?,A1
"Her boyfriend lives in Kabylie, Algeria.",A1
I want to know how much it's going to cost me to go to Australia with you.,A1
I don't know what else is going to happen.,A1
"Tom and Mary were very friendly, weren't they?",A1
How do you want to handle this situation?,A1
It's fine this morning and I feel like a walk.,A1
Have you all been talking about me again?,A1
Tom isn't doing that the way he was told to.,A1
Did Tom know that Mary wasn't going to do that?,A1
I didn't know that he was there as well.,A1
Tom and Mary both have the same interests.,A1
"As you have often been here before, show me around, please.",A1
You've made only a few spelling mistakes.,A1
I started taking a night school Berber class.,A1
I knew Tom didn't know you had done that.,A1
Yanni and Skura were struggling with life and each other.,A1
I wasn't sure I really wanted to go to Australia with Tom.,A1
Tom said he'll probably do that the day after tomorrow.,A1
Tom says he isn't going to eat anything today.,A1
"When we were young, Tom and I used to often go fishing together.",A1
Read the kind of books that teach you something.,A1
Tom didn't know that he shouldn't believe everything Mary said.,A1
Tobias posted a bunch of photos of Isabella and her family.,A1
"Algeria, Morocco, and Tunisia have a common history.",A1
It'd be better if we didn't talk about Tom.,A1
Tom and Mary are the only ones who know that.,A1
Tom says he doesn't ever win when he plays badminton.,A1
The places with the long lines are the worst.,A1
Tom said that Mary has been trying to do that all morning.,A1
Tom asked me to go to Australia with Mary.,A1
"Class will start in five minutes, so please be ready.",A1
Tom and Mary say that they have nothing to do.,A1
Are you coming to Mary's Halloween party?,A1
I followed to the letter what you have told me.,A1
Didn't you know that that was going to happen?,A1
Tom never said why he wanted the day off.,A1
I had enough money to buy what I needed to buy.,A1
Tom said he thought that Mary would be too busy to help.,A1
Speaking in some languages sounds like playing.,A1
Please make sure that doesn't ever happen again.,A1
"When she was four, she knew how to read.",A1
No one is permitted to build on the county land.,A1
What is it about Algiers that makes it so special?,A1
Tom and Mary cancelled the party they'd been planning.,A1
Tom said that he didn't think that Mary did that very often.,A1
The start was delayed because of bad weather.,A1
I'm the only one who won't be at the meeting today.,A1
Tom and John are Mary's brothers. Alice is her sister.,A1
Mary said she understands why Tom doesn't want to do that.,A1
"Tom and Mary don't really think I can do that, do they?",A1
I didn't think that Tom would be so happy.,A1
Please make sure you have enough money with you.,A1
My first three weeks here were very difficult for me.,A1
Tom asked Mary if she knew where John lived.,A1
This is a really good book. You should read it.,A1
Tell Tom and Mary I won't go to Boston with them.,A1
Tom told me he had no time to read books.,A1
"Does he still live in Algiers? ""Yes, he still does.""",A1
Tom told Mary that he thought John was cold.,A1
He who has a real friend can say he has two souls.,A1
There are better constructed languages than Esperanto.,A1
Are you still planning to come to the party?,A1
I need you to tell me about the problem.,A1
He said he didn't feel like talking to her.,A1
Are you sure that you don't know what this is?,A1
"It is the time you should be at work, isn't it?",A1
I have lost my pen. Will you help me look for it?,A1
"Tom walked up Park Street, looking for Mary's house.",A1
I don't remember Tom's children's names.,A1
Tom just stood there without saying a word.,A1
I won't go back to Boston until October.,A1
Tom didn't take part in our conversation.,A1
I wasn't very good at dancing when I was a teenager.,A1
I'm afraid the situation will get worse.,A1
Tom said that he needs to find another way to make money.,A1
Tom and Mary probably can't do that on their own.,A1
I love learning languages by listening to them.,A1
"Bicycles are called ""Velos"" in Switzerland.",A1
Tom is the one who gave me this bicycle.,A1
Mary said she thought Tom was still living in Boston.,A1
You look like someone I went to high school with.,A1
In the end it is not possible to fully know somebody else.,A1
Tom and Mary say they're no longer interested in painting.,A1
What difference would it make if people didn't do that?,A1
I don't think that it's too late to do that.,A1
I don't think Tom knows how to do that very well.,A1
Tom drove like someone who had never driven a car before.,A1
"Booze is the answer, but now I can't remember the question.",A1
Mary knew that she was going to have a good time in Boston.,A1
"If we don't finish this job, we'll lose the next contract.",A1
I hope you don't have to stay in Australia all month.,A1
What happened yesterday evening in Paris?,A1
Tom and Mary were eating apples the last time I saw them.,A1
Gabriel couldn't make out much of what was being said in Berber.,A1
She walked with her head down like an old woman.,A1
How long would you say they've been there?,A1
"Like Fadil, Layla also grew up in Cairo.",A1
I thought that maybe you could tell me what I need to know.,A1
Mary says she hopes Tom knows he doesn't have to do that.,A1
"If he keeps drinking like that, he'll have to take a taxi home.",A1
I can't believe that she made me dinner.,A1
Tom said he would visit Mary in Boston every weekend.,A1
"If you alter the plan, you must inform the team members of the changes.",A1
Many times I have found that people cannot be taken at their word.,A1
Sami really doesn't know what to talk about.,A1
Tom probably thought I knew the words to that song.,A1
Tom and Mary told John that they were going to be home late.,A1
I want to know how much cake Tom has eaten.,A1
Tom never should've told Mary that he loved her.,A1
Messing with Yanni is one of the worst mistakes one could ever do in their life.,A1
I didn't know that Tom had been doing that.,A1
It wasn't as cheap as I thought it'd be.,A1
Beth is afraid of the dark because of her evil brother.,A1
They say the weather in the mountains changes quickly.,A1
I'm still not sure about what I want to do when I grow up.,A1
Tom said it was his first time in Boston.,A1
Sami didn't want to sit on anything in Layla's room.,A1
Tom said he had to wait in line for over three hours.,A1
What time does your office let you go home?,A1
The important thing is to call the police at once.,A1
Mary said she'll stay where she is until 2:30.,A1
Have you ever gone to the beach with Tom?,A1
Tom can play both tennis and table tennis well.,A1
You look like someone who could use a drink.,A1
Tom has been waiting all morning to talk to you.,A1
Tom said he'd be willing to sing a few songs.,A1
What's the name of the restaurant where Tom works?,A1
Don't forget that Tom can't understand French.,A1
I'll be in Australia for just three days.,A1
Ziri told Rima Walid was never coming back.,A1
"I live in Boston, not far from where Tom lives.",A1
I think Tom wouldn't have done that if Mary hadn't been there.,A1
Tom told me he'd drive Mary to the airport.,A1
Layla was the last to see Sami the night of that shooting.,A1
I don't think that I'd enjoy doing that.,A1
What time do you think Tom will be back?,A1
"You wouldn't happen to know where she lives, would you?",A1
Tom will do that the same way we did that.,A1
My brother fell from a tree and broke his leg.,A1
Tom knows he doesn't have enough money to buy everything he needs.,A1
Tom doesn't know where Mary wants to do that.,A1
I don't think that I've changed all that much.,A1
He was still working for the UN in Algeria.,A1
All his children want presents on their birthdays.,A1
I know that Tom won't be the last one to do that.,A1
I want to get back home before Tom and Mary do.,A1
I know that Tom isn't planning to go to Australia with you.,A1
I know that Tom says he doesn't like me.,A1
Tom's bicycle was blue before he painted it red.,A1
What did Marika say about life in Japan?,A1
I wasn't the only one in the room that couldn't speak French.,A1
He turned off the light and he went to bed.,A1
Tom said that he wasn't sure what he should do.,A1
I hope that you have a good time at the party.,A1
Many flights have been canceled because of the snow.,A1
Tom moved to Boston to live with his grandparents.,A1
I don't see why Tom doesn't just ask Mary out.,A1
I agree that we should ask Tom to do that.,A1
Felix was driving on a quiet and dark road.,A1
Let's see if we can do that without any help.,A1
"She's a unique person. - ""Every person is unique.""",A1
I can't believe Tom and Mary aren't coming.,A1
How often do you think we should do this?,A1
Tom and Mary said they needed something to drink.,A1
I thought you said that nobody here could speak French.,A1
"Will he be back soon? ""I don't think so.""",A1
Did you really think it would be different this time?,A1
Mary said she thought Tom wasn't very good at French.,A1
We're going to have to wait and see what happens.,A1
Tom has probably never been to Australia.,A1
I know that I can do that when I'm in Boston.,A1
I don't think that Tom has to decide right away.,A1
I know that you don't want that to happen.,A1
She'll probably tell him she isn't busy.,A1
Tom told me that he knew someone who could teach me French.,A1
Didn't you know that Tom was in Australia?,A1
Kalman explained how that machine used to work.,A1
I remember the first time that I heard this song.,A1
I know Tom is still there waiting for you.,A1
Tom and Mary say that they'll do that on Monday.,A1
I don't speak French but all the others do.,A1
I'm not sure Tom would let anyone help Mary.,A1
Sami and Layla have been dating for like a week.,A1
Mennad and Baya talked about everything.,A1
Tom spent all morning cleaning his room.,A1
Why would Tom and Mary have John do that for them?,A1
You and I both know that Tom has to do that.,A1
I can't remember the last time I had a drink with a girl.,A1
I think we shouldn't tell Tom what really happened.,A1
I'm not the type of person to make fun of other people.,A1
"Tom is usually the last to leave, but last night Mary left ten minutes after he did.",A1
I try to spend as much time as I can in Boston.,A1
Tom is probably not planning to stay in Boston until October.,A1
Both Tom and Mary know that that isn't true.,A1
They know that they need to study French.,A1
Did Tom tell you how long it took him to do that?,A1
The young woman under that tree looks sad.,A1
"We need to get ready for the party. ""Oh, was that tonight?""",A1
Mary told Tom that she thought John was funny.,A1
I'm the only one who has a key to my apartment.,A1
"Can I return home? ""Of course you can. You're my daughter. I love you.""",A1
Let's hope Tom doesn't decide to do that.,A1
We need to know everything there is to know about Tom.,A1
What should one do when they are lost on a street travelling in Japan?,A1
"I usually walk to work, but I drove today.",A1
I know that you were in Australia the year before last.,A1
Donald played the game on his dad's computer.,A1
The only one who knows what to do is Tom.,A1
Tom took a picture of us to send to his parents.,A1
Mary said she thought Tom would be back soon.,A1
Tom said he thought that Mary would be reasonable.,A1
Sami and Layla talked for twenty minutes.,A1
"They went to the bus stop, and the bus took off.",A1
I thought you said that we weren't going to be here.,A1
You've chosen the wrong time to tell me that you need a loan.,A1
Some people are working hard to deny the existence of the Berber language.,A1
Apartments are very expensive in New York.,A1
Sami and Layla started working together.,A1
I was the one who should have done that.,A1
Sami and Layla aren't boyfriend and girlfriend.,A1
I'm probably not the only person who didn't do that.,A1
Everything Ziri does shows that he thinks like a policeman.,A1
"You don't need to do that every day, do you?",A1
Mary told me that she has just done that.,A1
Mary told me that she doesn't know what she has to do.,A1
Did you tell Tom why you want to go to Boston?,A1
You can't ask me to change everything about who I am.,A1
Why aren't you telling me that I'm beautiful?,A1
Tom had a pretty good excuse for not being here yesterday.,A1
Things aren't as bad as Tom thinks they are.,A1
I know Tom is in his room listening to music.,A1
It's going to be more useful in the long run.,A1
"You didn't know that Tom needed to do that, did you?",A1
I thought you said that you didn't have any problems.,A1
I saw Tom walking with his girlfriend last night.,A1
The number of my sentences in Toki Pona is 7777.,A1
I thought that you were going to Boston.,A1
I have no idea when Tom learned how to do that.,A1
I have fewer students in my class this year than last year.,A1
I don't want to go to the beach with you.,A1
"I'm calling my sister in Sydney, Australia.",A1
Tom and Mary told John they'd never do that.,A1
Sami didn't know what Layla was giving him.,A1
Tom said he didn't know where Mary worked.,A1
Tom said that he thought that I needed to get more exercise.,A1
Tom and Mary asked me to buy them something to drink.,A1
"Tom said he wanted something to eat, so I bought him a sandwich.",A1
I've never denied that I have feelings for you.,A1
"As I told you before, I don't plan to be at this afternoon's meeting.",A1
Tom should've done that the way Mary showed him.,A1
She explained to him why she was late for his party.,A1
Tom said he planned to stay until next Monday.,A1
"I'd like to help you, but I can't right now.",A1
How long has been Flavio watching Isabella and why?,A1
Now is the time to get the hell out of here.,A1
I love Tatoeba and all the people that contribute on this website.,A1
I was trying to teach Tom how to play that song yesterday.,A1
"If you want to be happy, make somebody else happy.",A1
Tom said Mary would probably do that tomorrow.,A1
Tom is probably not going to permit Mary to do that.,A1
Tom said that he knew why Mary did that.,A1
Yanni was in Algiers to visit his sister in college.,A1
You must not let anyone know that I am here.,A1
Tom had no idea why Mary was planning on staying in Australia for so long.,A1
I know that Tom couldn't have kept Mary from doing that.,A1
Mary says this is the first time she's tried to do that.,A1
Didn't you know that Tom wanted to do that?,A1
It only took us thirteen hours to get to Australia.,A1
You want another cup of tea? I've just made you one!,A1
I thought that you said you'd do that tomorrow.,A1
We always go to the library on Thursday.,A1
The boy reading a book over there is Tom.,A1
Boston is one of the most beautiful cities in the world and many people want to visit it.,A1
Tom told me that I should come home soon.,A1
Boldi showed us a world we had never seen before.,A1
Please let me know when I should get off.,A1
I knew Tom knew why I didn't like to do that.,A1
I read two books last week. I loved them both.,A1
"Tom and Mary are both staying with you, aren't they?",A1
Tom and Mary told me they never did that.,A1
Some of them have problems with their hearing.,A1
This is my friend Rachel. We went to high school together.,A1
I know that Tom didn't know that I didn't have to do that.,A1
Why didn't you tell me you were going to Australia?,A1
Do you think Tom and Mary are still at home?,A1
I thought that Tom was going to help us today.,A1
How could I have fallen in love with him so quickly?,A1
The two of you look like you're having fun.,A1
"Tell me about something you're interested in. ""The Berber language.""",A1
Ziri looked at the pictures he took that day.,A1
It's not going to be difficult to do that.,A1
Tom and Mary are never going to find you.,A1
Have you talked to your parents about it?,A1
Ziri didn't understand a thing about that.,A1
"I tried doing that again, but I couldn't do it.",A1
I plan to go to Boston next week to see Tom.,A1
That still leaves us with the question of why.,A1
Tom leaned out of the window to take a picture.,A1
You're starting to sound a lot like Tom.,A1
I don't know if they've decided to leave.,A1
All that my love for her does is grow and grow.,A1
Did Mary say anything about who she was with?,A1
"“I am the type of person who likes to be out and about with other people,” she said.",A1
"When the time came to do that, Tom didn't hesitate.",A1
She thought of a good way to make money with the help of the internet.,A1
I suspect that Tom knows Mary doesn't like him.,A1
I don't think Tom knows that Mary has to do that.,A1
When did Tom and Mary say they were coming?,A1
That is the same umbrella that I found on the bus.,A1
You shouldn't speak French in the classroom.,A1
Tom said that he'd also help Mary do that.,A1
Mary used the money I gave her to buy a bicycle.,A1
I told Tom that I didn't remember doing that.,A1
Tom wanted me to teach Mary how to drive.,A1
I think that Tom lived in Boston when he was in high school.,A1
"It's raining, and I don't have an umbrella.",A1
Tom told me that he thought that Mary was fat.,A1
Mary proposed a different project to the commission.,A1
I hope we have enough food for everyone.,A1
I usually try to sit in the back of the classroom.,A1
Just don't tell anyone else what I said.,A1
"He has an interesting job, for which he has to work a lot.",A1
Tom spent all morning reading a book in the library.,A1
Didn't you know Tom was younger than Mary?,A1
Tom said Mary was too busy to help you do that.,A1
Tom told Mary he's seen that movie three times.,A1
Do you really believe that that's what Tom wants?,A1
"Tom and Mary, you two partner up with each other.",A1
The most famous supermarket is also the most expensive.,A1
I think it's important for you to learn French.,A1
My parents taught me to stand by my words.,A1
"Tom, Mary, John and Alice all looked busy.",A1
Tom has some things to talk to you about.,A1
"I thought that I should say something to Tom, but I didn't know what to say.",A1
Sami wanted to make Layla pay for leaving him.,A1
Tom and Mary said they're very busy this week.,A1
Tom asked Mary why she hated him so much.,A1
I don't think that I have everything that I need.,A1
Don't spend money on things we don't need.,A1
Tom has something he needs to do right now.,A1
Mary told Tom that she thought John was too old for her.,A1
"Tom and Mary don't think that I did that, do they?",A1
Sami said that it was his turn to walk the dog.,A1
Tom is the only one who knows how anything works.,A1
You don't do that the same way Tom and Mary do.,A1
Would you like to walk to the station with me?,A1
I can't come in to the office today because I don't feel well.,A1
Sami doesn't really want to talk about this.,A1
Tom said that he was told to do that again.,A1
I don't have any friends here in Boston.,A1
I thought we'd agreed that you wouldn't do that again.,A1
Remember to bring your completed homework tomorrow.,A1
"You're Mr. Ogawa, aren't you? ""Yes, I am. How can I help you?""",A1
I don't think that Tom knows why Mary doesn't like John.,A1
"Anyone else would've been satisfied, but not Tom.",A1
"Will it rain tomorrow? ""It's quite possible.""",A1
Tom and Mary needed someone to help them with their homework.,A1
I left them a long message in Esperanto.,A1
Mary says she didn't know Tom couldn't swim.,A1
I'm learning to speak Spanish in Argentina.,A1
Tom looked pretty sick when I last saw him.,A1
I told Tom a lot of things that Mary didn't want me to tell him.,A1
Tom did that much better than I could've.,A1
Tom is going to get all the help he needs.,A1
"He is the best father in the world, even as I am the worst son that can be found.",A1
I don't think that Tom knows what Mary wants to do tomorrow afternoon.,A1
"Now that Tom and Mary are here, we can start the party.",A1
They've got a telephone next to their bed.,A1
Tom told Mary that he thought John was upstairs.,A1
In the evening I eat at home with my family.,A1
I want you to know that I can't be there tomorrow.,A1
I must calculate how much money I'll spend next week.,A1
Why don't you do that like I showed you?,A1
Mennad is gonna be moving out this weekend.,A1
He was given ten years and his wife three.,A1
It took us a long time to decide where to go.,A1
We're just waiting for your test results.,A1
Tom came to Australia looking for a new life.,A1
I have been studying Berber for four months.,A1
He said he wasn't going to wait for her.,A1
He likes anyone even if that person has a fault.,A1
I knew that Tom didn't know how much time he'd need to do that.,A1
I'm convinced that Tom isn't telling us everything.,A1
I don't know if Tom and Mary plan to do that or not.,A1
I don't know if he is younger or older than me.,A1
Tom and Mary said that they didn't enjoy doing that.,A1
Is there a check-out on the first floor only?,A1
I don't think there's any way I can do that without your help.,A1
Tom asked Mary what she had been doing all morning.,A1
"During the event, Ziri looked around for Rima.",A1
I didn't know you were Tom's girlfriend.,A1
You should write Tom a thank-you letter.,A1
Tom knew that he was going to have a good time in Boston.,A1
I didn't understand what Tom was trying to tell me.,A1
Sami was liking Layla's photos on Facebook.,A1
"Are you going on that bus? ""No, it's too full.""",A1
You really should have gone to Boston last week.,A1
"If you need someone to talk to, I'm here.",A1
How do you know that Tom was the one who did it?,A1
Did you know Tom was living in Australia?,A1
Does Tom know that you want to buy a new computer?,A1
Tom will not let him believe it's better than it really is.,A1
I know the reason why he was angry with them.,A1
I explained to Tom why we had to go to Boston.,A1
"I'm hungry. ""Me too."" ""Will we have something to eat?"" ""Yes.""",A1
Tom and Mary are very sure they should do that.,A1
Tom told me that it was just my imagination.,A1
Can you imagine what would have happened if we hadn't been there?,A1
She had no idea that she was being followed.,A1
He asked me who had painted the picture.,A1
The baby was named John after his uncle.,A1
Tom should be better at doing that than Mary.,A1
Tom and Marie would buy this house if they had any money.,A1
I don't think anyone has ever done something like this before.,A1
This is the computer which he used to write the article.,A1
Tom sleeps as if she had never done that before.,A1
Didn't you know that Tom and Mary were going to be there?,A1
We're going to the cinema. Come with us.,A1
Tom said that Mary didn't look very much like her mother.,A1
The man lost no time in reading his paper.,A1
It would be better if he's there this evening.,A1
I've forgotten how long we've known each other.,A1
I saw Tom climbing in through the window.,A1
Tom didn't know that Mary could do that.,A1
Mary doesn't want to do that on her own.,A1
I don't think Mary has her phone on her.,A1
"Tom will probably be late. ""I think so, too.""",A1
I knew Tom knew who was going to do that for us.,A1
The British would need strong leadership.,A1
Is time more important than place for you?,A1
I'm angry with my boyfriend for forgetting about Valentine's Day.,A1
There is no reason for me not doing something.,A1
How long does it take to fly from Tokyo to Los Angeles?,A1
"I don't think that Tom lied to us, but I know Mary thinks he did.",A1
I can't let anyone know where I'm going.,A1
Tom and Mary could do that for John if he wanted them to.,A1
Tom and I are the only ones who know what to do.,A1
"Before I do anything else, I'd like to get something to drink.",A1
I heard that Tom and Mary have been fired.,A1
Tom and Mary always play tennis on Saturday morning.,A1
Tom said that was the first time he'd tried doing that.,A1
I don't want Tom to say anything to Mary.,A1
Tom doesn't want the same thing to happen here.,A1
I've been helping her study for the GRE.,A1
Tom didn't have to take a taxi. He could have walked.,A1
I thought that Tom wouldn't have to do that.,A1
My younger brother really likes to take photos of mountains.,A1
Tom will probably be anxious to do that.,A1
I knew that Tom would get angry if you did that without him.,A1
Tom said that he wanted to talk to you. Is that why you're here now?,A1
Tom spends about an hour a day studying French.,A1
Janos is planning the year's biggest event in town.,A1
Leonid asked Anna to meet him late at night.,A1
What do you drink for breakfast? Tea or coffee?,A1
You'll be looking after Tom from now on.,A1
Tom and Mary don't know who John is planning on doing that with.,A1
Tom thinks he'll go shopping this afternoon.,A1
What are you going to write in that letter?,A1
Mary told me she planned on waiting until Monday to do that.,A1
The girls here just aren't as beautiful as the girls back home in Boston.,A1
"As I did not know what to do, I asked him for advice.",A1
Anyone else would've done the same thing.,A1
They told me some things that they probably shouldn't have.,A1
Everybody will get everything they need.,A1
I don't think that Tom would be angry if you did that.,A1
